Peter Hessler
Thomas Jefferson
Jaume Cabré
Albert Goldbarth
Frantz Fanon
Algusto Dos Anjos
Augusto Dos Anjos
Augusto dos Anjos
Algusto dos Anjos
Basil Bunting
Turgenjev
Alain Fournier
Henri Charriere
Hannah Arendt
Evan Osnos
William Faulkner
Elizabeth Gaskell
Gaskell
Jane Kenyon
W.S. Merwin
W. S. Merwin
Pramoedya Ananta Toer
James Wright
Augusten Burroughs
Eric Nylund
Inio Asano
Feuchtwanger
Lion Feuchtwanger
Liz Murray
Alberto Villoldo
Sappho
Adrienne Rich
Karl Marlantes
Alice Faye Duncan
Pedro Salinas
Helene Hanff
Paulo Leminski
Carolin Emcke
Jean Améry
Philip Gourevitch
Phillip Gourevitch
Sepulveda
Bill Bissett
Heinz von Foerster
Heinz Von Foerster
Gontscharow
Mihail Solohov
Jack D. Schwager
CL Wilson
Naguib Mahfouz
Joe R Lansdale
Philip Levine
dominique Lapierre
Robert Macfarlane
Lisa Robertson
Joe Simpson
Anne Sexton
Matt Fraction
Weiss & Hickman
walter Moers
Walter Moers
Dave Barry
Bodo Schäfer
Billy Collins
Mário quintana
Don Beck
Evan Dara
Singer
Antonio Gamoneda
Joseph Sheridan Le Fanu
Pearl S Buck
Pearl S. Buck
Raïssa Maritain
Tom Robins
Koushun Takami
Erico Verissimo
David Halberstam
Kent Haruf
Francis Ford Coppola
William Blake
Emile Ajar
Ajar Emile
Larry Collins
Russel Hoban
Russell Hoban
Jacques Prevert
Comte De Lautreamont
Sebastian Haffner
Haffner
James Goldman
Ryszard Kapuscinski
Zora Neale Hurston
Dante
Dante Alighieri
Eric Hoffer
Martin Mcdonagh
Susan Wise Bauer
Rian Malan
Sesyle Joslin
Marcel Reich-Ranicki
Percy Shelley
Percy Bysshe Shelley
Elizabeth Bishop
Lajos Zilahy
Zinn
Lorna Dee Cervantes
Heinz Erhardt
Brothers Grimm
David Frost
Tove Janson
Joan Didion
Didion
Rudolf Steiner
Tom Robbins
Henry Hazlitt
Mariam Petrosyan
John Keats
Robert Bloch
Fatima Farheen Mirza
Whitman
Walt Whitman
Carlos Drummond de Andrade
Kai Hermann
Chaim Potok
Chekhov
Anton Chekhov
Michael Blake
Cemil Meriç
Ellen Wood
Nathaniel Mackey
Raul Zurita
Tristan Tzara
Bruce Bueno De Mesquita
John Cooper Clarke
Susan Townsend
Morrisson
David R. Hawkins
Nikesh Shukla
Torey Hayden
Lucia berlin
Mariana Leky
Joël Dicker
Jonathan Lethem
Tan Twan Eng
Gilles Deleuze
Mikhail Bakhtin
Mahmoud Darwish
Sigrid Undset
William Carlos Williams
Robert Merle
Olga Gromyko
Junger
Pauline Kael
Paul Brunton
GOGOL
Gogol
Nikolai Gogol
Jean-Paul Sartre
Machado de Assis
Machado De Assis
Eugénio De Andrade
Clifford Stoll
Yeats
W.B. Yeats
W. B. Yeats
Alexey Pehov
Hartmut Geerken
Lev Tolstoj
Philip Roth
Louis-Ferdinand Celine
Cao Xueqin
Li-Young Lee
Rabindranath Tagore
Nikos Kazantzakis
Ruskin Bond
Rene Girard
Hans Fallada
John Pilger
Didier Eribon
William Styron
Lucian Blaga
David Steindl-Rast
Oliverio Girondo
Robbins
Walter Kaufmann
Strittmatter
Heimito Von Doderer
Cordwainer Smith
Austin Osman Spare
Humphrey Cobb
Christiane F
Christiane F.
Louis Wood
Hasan Ali Toptas
Chogyam Trungpa
Max Hastings
Daniel Mendelsohn
Ted Kooser
Ethel voynich
Timothee De Fombelle
Carina Bartsch
Magda Szabo
Mark Fisher
Peter Hathaway Capstick
Mario Vargas Llosa
Osho
Gott
Gurdjieff
Brooks Haxton
Ernest Thompson Seton
Buddha
Florbela Espanca
Guillermo Arriaga
Birhan Keskin
Michel Foucault
Walter Macken
Aleksandr Solzhenitsyn
Solzhenitsyn
Virgilio Piñera
Taras Shevchenko
Humberto De Campos
Vincenzo Mollica
Anna Benson
Marian Keynes
Georgia Douglass Johnson
Tom Spanbauer
Stephen Dunn
Mark Levi
Mark Danielewski
Adam Johnson
Papini
Giovanni Papini
Chingiz Aitmatov
Chandler
Elena Garro
Heraclitus
Tennessee Williams
Tenesse Williams
Rem Koolhaas
Anne Tyler
Tyler
John Henry Newman
Russell
Meister Eckhart
Clarissa Pinkola Estes
Wilfrid Sheed
Subcomandante Marcos
George Bacovia
Juan Rulfo
Donald Justice
Salman Rushdie
Keith Gessen
Alexander Kuprin
Alexander Sergeyevich Pushkin
Pushkin
Alexander Blok
Lew Welch
Sharon Olds
Thomas Merton
Egon Schiele
Johnson
Michael Foucault
Ian Pears
Kurt Guggenheim
Jimmy Ernst
Michel De Montainge
Michel De Montaigne
Henry Kissinger
Tara June Winch
Levison Wood
Walter Benjamin
Joseph Murphy
Richard Russo
Arundhati Roy
Enrique Serna
Graham Greene
Kathleen Jamie
Ludwig Wittgenstein
Larry Gonick
Richard Powers
Octavio Paz
Nick Lane
Paul Scott
Jostein Gaarder
Jennings
Robertson Davies
William Matthews
Nick Hornby
Snorri Sturluson
Andrea Hirata
Albert Vigoleis Thelen
Greg Dening
John Berryman
Cruz E Souza
Cruz e Souza
Christie Watson
Bachelard
Gaston Bachelard
E. M. Forster
Milo Manara
Maurice Druon
Thomas Man
Thomas Mann
Stanislaw Lem
Lermontov
Mikhail Lermontov
Julie Buxbaum
Sarah bakewell
Julius Evola
Mario Benedetti
Benedetti
Mihai Eminescu
John Howard Griffin
Allen Eskens
Ted Simon
Matsuo Basho
Ron Padgett
Roberto Bolano
Roberto Belano
William Barrett
Davenport
Julian Cope
George Herbert
James Schuyler
Byron
Joshua Beckman
Forrest Carter
Erin Gruwell
Armistead Maupin
Harold Norse
Julia Korbik
Guillermo Gomez Pena
Anton Cehov
Sandor Marai
Sandor Marais
Marai
Luís Fernando Veríssimo
Valter Hugo Mãe
Allen Ginsberg
W. G. Sebald
Jón Kalmann Stefánsson
Jón Kalman Stefánsson
John Muir
Wilkie Collins
Antal Szerb
Szerb Antal
Benedict Wells
Benedikt Wells
Simone De Beauvoir
Simone de Beauvoir
Simone Beauvoir
Yoshiki Tanaka
Antonin Artaud
William Dalrymple
Marguerite Yourcenar
Maguerite Yourcenar
W.H. Auden
Tonke Dragt
Theodore Roethke
R.A. Hakok
Michael Azerrad
Ilya Kaminsky
Kaminsky
Hugo Pratt
Jonathan Franzen
Ruth Ozeki
Suskind
"Auster, Paul"
Peter Auster
Paul Auster
Keith Miller
Gregory Orr
Everet True
Otfried Preussler
James Hillman
Ted Hughes
Cecília Meireles
Goldt
Max Goldt
Leo Huberman
Ewald Arenz
Kurt Held
Arthur Cravan
Ahmet Turan Alkan
Nicolai Gogol
Sebastián De Covarrubias
Yu Hua
Simone Weil
John Galsworthy
Edith Wharton
Rollo May
Siegfried Sassoon
Sue Hubbell
Denise Levertov
Walter Tevis
Joyce Carol Oates
Joice Carol Oates
Carol Oates
Michael Roach
Maurice Merleau-Ponty
Drew Karpyshyn
Ibn Arabi
Louis Macneice
Victor Serge
Bruno Schulz
Bill Nye
Gk Chesterton
Chesterton
Sarah Weeks
Gadamer
Cioran
E. M. Cioran
Emil Cioran
E.M. Cioran
Emile Cioran
Marçal Aquino
Sait Faik Abasıyanık
Stéphane Mallarmé
Terence McKenna
Vinicius de Moraes
Mira Lobe
Jose Emilio Pacheco
Wolfgang Bauer
Ivan Franko
David Edwards
Charles Shaar Murray
Luis Cernuda
Edward Whittemore
Georg Christoph Lichtenberg
Karen Hancock
Taisha Abelar
Marguerite Young
Hammet
Tom Stoppard
Tom Steppard
Steinmüller
Rita Ann Higgins
Werner Schwab
Daniela Dahn
Nicolas Born
Steven Fry
Osip Mandelshtam
Mann
Charles Mann
Graciliano Ramos
Stuart turton
Tedd Arnold
Danilo Kiš
Danilo Kis
Michael Nava
Ben Marcus
Erich Kästner
Mayakovsky
Bertrand Russell
Keri Smith
Neal Postman
Thomas King
Clarice Lispector
Johnny Gruelle
William Vollmann
William Vollman
William T. Vollmann
Jorge Ibargüengoitia
John Fante
Ernesto Sábato
Ernesto Sabato
Sabato
Nicolas Bouvier
Vincent Bugliosi
Caio Fernando Abreu
Hart Crane
Kishon
Ephraim Kishon
Column Mccann
Colum Mccann
Philpp Kerr
Louise Glück
Emmanuel Levinas
Munro Alice
Alice Munro
Mike Tidwell
Frigyes Karinthy
Laszlo Krasznahorkai
Kierkegaard
Soren Kierkegaard
Albert Einstein
Patrick Hamilton
Andrus Kivirähk
Geoffrey Hill
Ilya Ehrenburg
Heidegger
Martin Heidegger
Georg Heym
Bruno Frank
Christoph Meckel
Francis Parker Yockey
Jorge Eduardo Eielson
Eva Strittmatter
Anne Dunn
Gabriel Ringlet
John C. Gardner
D. E. Stevenson
Plutarch
David Graeber
Andy Stanton
Piers Paul Reid
Ginsburg
Ralph Waldo Emerson
Ralph Emerson
Jacques Barzun
Dorothy Parker
Dino Buzzati
Helene Cixous
Lygia Fagundes Telles
Roland Topor
Bjarne Stroustroup
Rosa Luxemburg
Mircea Eliade
Jj Voskuil
Edmond Rostand
Lewis Mumford
Nick Brown
Lars Mytting
Algernon Charles Swinburne
Sasha Sokolov
Gordon
José Lezama Lima
Lezama Lima
Waris Diries
Lian Hearn
Ada Philips
Atilla Ilhan
David Litt
Dr Johnson
Su Tungpo
Frederik Braun
Jan Martel
Hans-Magnus Enzensberger
James Acaster
T.H. White
Katharine Graham
Annie Baker
Jim Dodge
Benyamin
Mariana Enriquez
Dina Rubina
Eugenio Montale
Don Carpenter
Jaroslav Hasek
Eliot
George Eliot
E. George
Sergei Lukyanenko
Thomas Benhard
Thomas Bernhard
Bach
Patrick Leigh Fermor
Robert Mcliam Wilson
Lin Yutang
Jan Potocki
Mikhail Sholokhov
René Daumal
Fonda Lee
Arno Schmidt
Teffi
Raymond Roussel
A.S. Byatt
Unica Zürn
Mina Loy
W. C. Heinz
Joseph Moncure March
Ha-Joon Chang
Leonardo Padura
Austin
Ivan Goncharov
Grant Naylor
Schwitters
Kurt Schwitters
Remedios Varo
Jeanne Carbonetti
Julia Preston
Konrad Bayer
Harry Thürk
Elsa Morante
Trumbull Stickney
Thomas Warton
C.S. Mahrendorff
B Traven
B. Traven
Walker Percy
Rachel Kadish
Choderlos de Laclos
Ovid
Joann Fluke
Mark Strand
Heinrich Harrer
Miljenko Jergovic
Vikram Seth
Theodore Adorno
Silvina Ocampo
Dashiell Hammett
Hammett
Lois Lenski
Lorenz
David Ives
Hilda Hilst
William Gaddis
Chris Hedges
Sarah Waters
Philip Larkin
Osamu Dazai
Emma Mills
Friedrich Hölderlin
Seth Kantner
Evelyn Waugh
Luisa Valenzuela
Sven Lindqvist
Jorge Amado
Oswald Spengler
Spengler
Elvira Lindo
Mary Renault
Václav Havel
Kennedy Toole
John Kennedy Toole
John K. Toole
Toole
Salvatore Quasimodo
Colin Higgins
Steven Spielberg
William Heinesen
Ludmila Ulitskaya
Desnos
Tim Ingold
Søren Ulrik Thomsen
Flusser
Helle Ryding
Barbara Bartos-Höppner
Bill Bryon
Helmut Heißenbüttel
Jan Křesadlo
Nathaniel West
Maryanne Raphael
Jakob Van Hoddis
Jakob van Hoddis
Robert Anton Wilson
Stanislawa Przybyszewska
Tim Dorsey
Gaston Leroux
Babel
Isaac Babel
John Sladek
Isaac Bashevis Singer
Isaac B. Singer
Reinaldo Arenas
Trevanian
Lewis Hyde
Ivan Vazov
Salvador Plascencia
John Bunyan
Stephen J Gould
Luke Davies
Mika Waltari
Alistair MacLeod
Alvaro Mutis
Conrad Aiken
Inger Edelfeldt
Paul Maar
Harry Bingham
Kiera Van Gelder
Roger Martin du Gard
Gesualdo Bufalino
Willa Cather
Andrea K Host
Norbert Elias
Salvador Elizondo
Reginald Mcknight
Vea Kaiser
Shalev
Meir Shalev
André Pieyre De Mandiargues
Milorad Pavić
Miroslav Holub
Hans Henny Jahnn
Hanns Henny Jahn
Thomas Paine
Maria Gabriela Llansol
Günther Anders
Raymond Depardon
Pablo Palacio
Ivan Lessa
Tom Lafarge
Fritz Steuben
John Barthes
Slavko Janevski
Roland Barthes
Christopher Ishrer
Christopher Isherwood
Romain Gary
Georgi Gospodinov
Jeanette Winterson
John Berendt
Boris Akunin
Akunin Boris
John Wyndham
Fowles
John Fowles
Grace Paley
Tomas Tranströmer
Carson Mccullers
Carson Macullers
Alexander Belyayev
Thom Jones
Hugh Prather
Erving Goffman
Karel Čapek
Ingeborg Bachmann
Ernst Junger
Ernst Jünger
Jünger
Joachim Meyerhoff
Ionel Teodoreanu
Paul Verlaine
Verlaine
Reşat nuri güntekin
Gregory Corso
Bruce Fink
Cornelia Otis Skinner
Donald Revell
Adam Rex
De Berniere
Albee
Edward Albee
S. J. Perelman
Stefanie Stahl
Anne Booth
Knut Hamsun
Chris Brown
William Rhode
Lina Kostenko
Daniel Borzutzky
Ananda Coomaraswamy
Dorothea Tanning
Norman O. Brown
Zacharia Sitchin
Virginia Essene
Meinecke
Manfred Kyber
Kathleen Fraser
Hans Lebert
Paul Coehlo
James Joyce
Martin Buber
Michel Faber
Pasternak
Boris Pasternak
Starhawk
Emma Goldman
John Michael Greer
Tellegen
Toon Tellegen
Gloria Steinem
Robert Lowell
Alain Debotton
De Botton
Jean Giono
Roberto Calasso
Allen
Pat Barker
Charles Taylor
Arthur Koestler
John Mortimer
John Ashbery
Luc Sante
Alice Oswald
Durga Chew-Bose
Ferdinand Von Schirach
Carlos Castaneda
Marcel Pagnol
Florence King
Leonora Carrington
Felisberto Hernández
Spinoza
Anthony Trollope
Max Stirner
Bill Drummond
Susan Sontag
Rebecca Ryman
Naylor
Updike
John Updike
Charles Darwin
Manuel Scorza
Onat Kutlar
Maria Velho Da Costa
Welsh
Irvine Welsh
Benjamin Fondane
Thomas Kapielski
Francis Nenik
Michael Smith
R. K. Narayan
Milo Yiannopoulos
Ivan Bunin
James Jones
Richard Rorty
Christina Rossetti
George Selden
Michele Mari
Patricia Highsmith
Olivia Manning
Melissa Lucashenko
Andrea Camilleri
Simak
Edward Gibbon
Noel Coward
Laurence Durrell
Hermann Broch
Broch
Marcel Schwob
Heather Christle
Nigella Lawson
Asprin
Antonio Machado
David Burns
Paul Eluard
Richard Brautigan
Daniel Boorstin
Tom Wolf
Tom Wolfe
Wolfe
David Day
Joe Keenan
Daniel Pellizzari
Gregor von Rezzori
Gregor Von Rezzori
Robert Benchley
Julia Alvarez
James Rubart
Eric Emmanuel Schmitt
Eric Emanuel Schmitt
Julian Barnes
Janice Deaner
Adolfo Becquer
Gustavo Adolfo Becquer
Helen Mort
Ryunosuke Akutagawa
Akutagawa Ryunosuke
Ryūnosuke Akutagawa
Banu Avar
Checkov
Antonio Botto
Elke Erb
Michael Blackburn
Howard Phillips Lovecraft
Emil Zola
Emile Zola
Zola
Edith Hamilton
Mervyn Peake
Mishima Yukio
Yukio Mishima
Mishima
Miguel de Cervantes Saavedra
Cervantes
Miguel De Cervantes Saavedra
Miguel De Cervantes
Derek Walcott
Steve Jackson
Samuel Beckett
Ingmar Bergman
Edward Said
Anjali Sachdeva
R. Lee Smith
Venedikt Erofeev
Marie Brennan
Euripides
David Lindsay
Mayne Reid
Jacques Lacan
Jean Lacan
Simon Sebag Montefiore
Ian Monk
Werfel
Ivan Illich
Franz Werfel
Daniel Pinkwater
Peter Weiss
Peter Weiß
Laurent Binet
Albert Cohen
Adalet Agaoglu
Mikhail Zoshchenko
Philip Ridley
Knausgaard
Giorgio Agamben
Edward Wilson
Leonid Andreyev
Leon Bloy
Derren Brown
William Diehl
Franck Thilliez
Jonathon Coe
E. F. Benson
Edgar Lee Masters
Edgar Rice Burroughs
Perelman
Eshkol Nevo
Karen Blixen
Terry Deary
John Hersey
Federico Garcia Lorca
Wilhelm Reich
Walter M. Miller Jr.
Braun
Lilian Jackson Braun
Thomas Perry
Edward Lear
Aristotle
Karl May
John Adjvide Lindqvist
Sergio De La Pava
Vladimir Lenin
Lenin
Iain Rob Wright
John Lansdale
