Yukio Mishima	Kenzaburō Ōe	Junichiro Tanizaki	Osamu Dazai	Abe Kobo	Ryunosuke Akutagawa	Tanizaki	Kobo Abe	Ryuunosuke Akutagawa	Natsume Soseki	Yasunari Kawabata	Akutagawa Ryunosuke	Yoko Ogawa	Peter Ackroyd	Georges Bataille	Ivan Turgenev	Viktor Pelevin	James Wright	Ernst Cassirer	Kathy Acker	Banana Yoshimoto	Cesare Pavese	Vladamir Nobokov	Clarice Lispector	Mary Renault	Frank Ronan	Haruki Murakami	Philip Levine	Vladimir Sorokin	Patricia Highsmith																			
Arthur Japin	Tim Krabbe	Philippe Claudel	Taichi Yamada	Thea Beckman	Hiromi Kawakami	Natasha Solomons	Yoko Ogawa	Allen Kurzweil	Ciara Geraghty	Carlos Ruis Zafon	Jan Wolkers	Robert Kaplan	William Dalrymple	Ruiz Zafon Carlos	Ryszard Kapuscinski	Seth	Reza Aslan	John Boyne	Yuval Noah Harari	Erin Watt	Harry Mulisch	Tommy Wieringa	Banana Yoshimoto	James Frey	Hilary Mantel	John Berger	Jonathan Raban	Eric Newby	Carlos Ruiz Zafon																			
Juan Villoro	Manuel Puig	Anthony De Mello	Juan José Arreola	Alan Pauls	Daniel Sada	Ken Wilbur	Enrique Serna	Bill Aitken	Ray Loriga	Dave Sedaris	Terenci Moix	Enrique Vila-Matas	Martin Kohan	Andrés Caicedo	Quim Monzo	Severo Sarduy	Santiago Gamboa	Micheal Monyihan	Julio Ramón Ribeyro	Rodrigo Fresán	Pedro Juan Gutiérrez	Pedro Lemebel	Alberto Fuguet	Laura Restrepo	Sergio Pitol	Charles allen	Gottfried Benn	Roberto Bolano	Pedro Mairal																			
	Bernard Werber	Alessandro Baricco	Tonino Benacquista	Alexandre Jardin	Lionel Shriver	Philippe Djian	Jacques Salome	Sebastien Japrisot	Hammet	Jakob Arjouni	Eric Emmanuel Schmitt	Frederic Beigbeder	Anna Gavalda	Murakami Ryu	Agota Kristof	Guillaume Musso	David Vann	Salvador Plascencia	Ernest Thompson Seton	Inoue Hisashi	Roddy Doyle	Jens Bjørneboe	Carol Ann Duffy	Lolita Pille	Claudia Piñeiro	Daniel Kehlmann	Wladimir Kaminer	E.T.A. Hoffmann	Dario Fo																			
	Roberto Bolaño Ávalos	Pedro Mairal	Antoni Casas Ros	Asli Erdogan	Alan Pauls	Yuri Herrera	Andrés Caicedo	Aslı Erdoğan	Sait Faik Abasıyanık	Pedro Lemebel	Alberto Fuguet	Etgar Keret	John Berger	Tim Ingold	Borgues	Manuel Puig	Alessandro Baricco	Monika Maron	Daniel Alarcon	Raul Zurita	Antonio Skarmeta	Georgi Gospodinov	Didem Madak	Birhan Keskin	Valeria Luiselli	Haruki Kurasawa	Antonio Tabucchi	Rodrigo Fresán	Ayfer Tunç																			
	Anthony De Mello	Juan Villoro	Bill Aitken	Evelyn Underhill	Manuel Puig	Dave Sedaris	Gottfried Benn	Micheal Monyihan	Norah Lofts	Charles Allen	Rosemary Sutcliff	Theodor Fontane	Stephen R. Donaldson	Deepak Chopra	Avi	Chris Crutcher	Alan Pauls	Katherine Paterson	P. D. James	Oswald Spengler	Joseph Campbell	David Lodge	Banana Yoshimoto	Rodrigo Fresán	Enrique Vila-Matas	J G Ballard	John Kennedy Toole	Rainer Maria Rilke	Richard Brautigan																			
	Sam Lipsyte	Barry Hannah	Joshua Ferris	Larry Brown	Charles Portis	David Means	James P. Othmer	Stewart O'Nan	Tom Franklin	Dan Chaon	Jonathon Franzen	Robert Coover	Erskine Caldwell	William Gay	Stephen Amidon	Caroline Leavitt	Harry Crews	Evan Connell	Mark Richard	Kelly Link	Jeffrey Brown	Dawn Powell	David Liss	Richard Yates	Jonathan Lethem	Barbara Ehrenreich	Donald Barthelme	George Saunders	Amy Hempel																			
Franz Kafka	Albert Camus	Hermann Hesse	George Orwell	Aldous Huxley	Fyodor Dostoyevsky	Gabriel Garcia Marquez	Milan Kundera	Vladimir Nabokov	Charles Bukowski	Kurt Vonnegut	James Joyce	Oscar Wilde	Umberto Eco	Jack Kerouac	Haruki Murakami	Paul Auster	Henry Miller	Jean-Paul Sartre	Tom Robbins	Samuel Beckett	Thomas Mann	Jorge Luis Borges	Ernest Hemingway	Thomas Pynchon	Chuck Palahniuk	Friedrich Nietzsche	Italo Calvino	Stefan Zweig	David Foster Wallace																			
James Joyce	Vladimir Nabokov	Milan Kundera	Gabriel Garcia Marquez	Franz Kafka	Umberto Eco	Albert Camus	Hermann Hesse	Aldous Huxley	Fyodor Dostoyevsky	Samuel Beckett	Thomas Pynchon	Charles Bukowski	George Orwell	Marcel Proust	Kurt Vonnegut	Paul Auster	William Faulkner	David Foster Wallace	Don Delillo	Italo Calvino	Ernest Hemingway	Oscar Wilde	Virginia Woolf	Jorge Luis Borges	Jack Kerouac	Kierkegaard	William Shakespeare	T. S. Eliot	Salman Rushdie																			
Kurt Vonnegut	George Orwell	Aldous Huxley	Chuck Palahniuk	Charles Bukowski	Jack Kerouac	Franz Kafka	Tom Robbins	Albert Camus	Hermann Hesse	Jerome David Salinger	Ernest Hemingway	Hunter S. Thompson	Gabriel Garcia Marquez	Douglas Adams	Vladimir Nabokov	Oscar Wilde	John Steinbeck	Joseph Heller	Haruki Murakami	Milan Kundera	Ray Bradbury	James Joyce	Philip Kindred Dick	John Irving	Stephen King	Fyodor Dostoyevsky	David Sedaris	Cormac McCarthy	David Foster Wallace																			
Jorge Luis Borges	Julio Cortazar	Italo Calvino	T. S. Eliot	Juan Rulfo	Fernando Pessoa	Umberto Eco	Roberto Bolano	Gabriel Garcia Marquez	Thomas Pynchon	Jose Saramago	Ernesto Sabato	David Foster Wallace	Haruki Murakami	Samuel Beckett	Paul Auster	Stanislaw Lem	Franz Kafka	Vladimir Nabokov	Ursula K. LeGuin	Álvaro de Campos	James Joyce	Mario Vargas Llosa	Edgar Allan Poe	Don Delillo	Milan Kundera	Fyodor Dostoyevsky	Anton Chekhov	Salman Rushdie	Roberto Bolaño Ávalos																			
Jack Kerouac	Charles Bukowski	Hunter S. Thompson	Oscar Wilde	Kurt Vonnegut	Aldous Huxley	William S. Burroughs	Henry Miller	Jerome David Salinger	Ernest Hemingway	Hermann Hesse	George Orwell	Franz Kafka	Albert Camus	Chuck Palahniuk	Tom Robbins	John Steinbeck	Allen Ginsberg	Irvine Welsh	Tom Wolfe	Douglas Coupland	Bret Easton Ellis	Nick Hornby	F. Scott Fitzgerald	Vladimir Nabokov	Ken Kesey	Gabriel Garcia Marquez	James Joyce	Jack London	Milan Kundera																			
Paulo Coelho	Jostein Gaarder	Poalo Coelho	Richard Bach	Isabel Allende	Khalil Gibran	Patrick Süskind	Hermann Hesse	Dan Brown	Ayn Rand	Antoine de Saint-Exupery	Sidney Sheldon	Pablo Neruda	Gabriel Garcia Marquez	Robin Sharma	Chetan Bhagat	Stefan Zweig	Haruki Murakami	Eckhart Tolle	Agatha Christie	Amin Maalouf	Milan Kundera	Gregory David Roberts	Joanne K. Rowling	Amish Tripathi	Wolfgang Hohlbein	Elif Shafak	Jose Saramago	James Redfield	John Green																			
	Flannery O'Connor	Cormac McCarthy	F. Scott Fitzgerald	Ernest Hemingway	Raymond Carver	Jerome David Salinger	John Steinbeck	Mark Twain	Tobias Wolff	James Joyce	Kierkegaard	Toni Morrison	Joseph Conrad	Thomas Pynchon	T. S. Eliot	William Golding	Virginia Woolf	Fyodor Dostoyevsky	Vladimir Nabokov	David Foster Wallace	William Shakespeare	Herman Melville	Kurt Vonnegut	Hunter S. Thompson	Don Delillo	Leo tolstoy	Jack Kerouac	Gabriel Garcia Marquez	Albert Camus																			
	Thomas Pynchon	Don Delillo	George Saunders	Jonathan Franzen	William Gaddis	Haruki Murakami	Dave Eggers	Cormac McCarthy	James Joyce	Jorge Luis Borges	Vladimir Nabokov	Roberto Bolano	Salman Rushdie	Kurt Vonnegut	David Mitchell	Mark Z. Danielewski	Jonathan Lethem	Jonathan Safran Foer	Michael Chabon	David Sedaris	Zadie Smith	William Faulkner	Neal Stephenson	Paul Auster	Martin Amis	Jeffrey Eugenides	Donald Barthelme	Italo Calvino	John Kennedy Toole																			
	Lev Tolstoy	Maxim Gorki	Ivan Turgenev	Zülfü Livaneli	Thomas Mann	Cemal Süreya	Ahmet Ümit	Fyodor Dostoyevsky	Nazım Hikmet	Oğuz Atay	Sait Faik Abasýyanýk	Turgut Uyar	Alexander Pushkin	Alper Canıgüz	cemal sÃ¼reya	Lev Tolstoj	Cengiz Aytmatov	Daniel Kulla	Turgenyev	Ahmet Hamdi Tanpınar	İhsan Oktay Anar	Joseph Roth	Atilla Ilhan	Friedrich Dürrenmatt	Leo tolstoy	Max Frisch	Yaşar Kemal	Franz Kafka	Hermann Hesse																			
	Augusten Burroughs	Dave Eggers	Sarah Vowell	Jonathan Safran Foer	Chuck Palahniuk	Bill Bryson	David Rakoff	Nick Hornby	Tom Robbins	Jeffrey Eugenides	Kurt Vonnegut	John Kennedy Toole	Christopher Moore	Chuck Klosterman	Michael Chabon	Jonathan Franzen	Jerome David Salinger	John Irving	David Foster Wallace	Wally Lamb	Zadie Smith	Douglas Coupland	John Steinbeck	James Frey	Bret Easton Ellis	Hunter S. Thompson	Margaret Atwood	F. Scott Fitzgerald	Ernest Hemingway																			
Ian Mcewan	Kazuo Ishiguro	Zadie Smith	Philip Roth	Jonathan Franzen	Julian Barnes	Jeffrey Eugenides	William Boyd	David Mitchell	Margaret Atwood	Martin Amis	Paul Auster	Jonathan Safran Foer	Peter Carey	Sebastian Faulks	Donna Tartt	Graham Greene	Cormac McCarthy	John Banville	John Updike	Michael Chabon	Saul Bellow	John Irving	Jane Austen	Martin Suter	Michael Cunningham	Iain Banks	Haruki Murakami	Anne Tyler	Kate Atkinson																			
Junot Diaz	Ta-Nehisi Coates	Rivka Galchen	George Saunders	martin Luther king Jr	Miranda July	Malcom X	Malcolm X	Martin Luther King	Gandhi	Chimamanda Ngozi Adichie	Lorrie Moore	Stuart Dybek	Johnathan Safran Foer	Jonathan Lethem	Dan Chaon	David Mitchell	Sally Rooney	Zadie Smith	Jonathan Safran Foer	Michael Chabon	Claudia rankine	Samantha Irby	Hanya Yanagihara	Jonathon Franzen	Maria Semple	Teju Cole	muriel Sparks	David Foster Wallace	Norman Maclean																			
Jeffrey Eugenides	Jonathan Franzen	Zadie Smith	Michael Chabon	Donna Tartt	Ian Mcewan	Sylvia Plath	Kazuo Ishiguro	Wally Lamb	Augusten Burroughs	David Sedaris	Tea Obreht	John Irving	Dave Eggers	Margaret Atwood	Ann Patchett	Virginia Woolf	Celeste Ng	David Mitchell	David Foster Wallace	Anne Sexton	Hanya Yanagihara	Haruki Murakami	George Saunders	Toni Morrison	Audrey Niffenegger	Elizabeth McCracken	Barbara Kingsolver	Alice Sebold	Truman Capote																			
Paul Auster	Haruki Murakami	Milan Kundera	Umberto Eco	Gabriel Garcia Marquez	Italo Calvino	T. Coraghessan Boyle	John Irving	Don Delillo	Ian Mcewan	Vladimir Nabokov	Philip Roth	Jose Saramago	James Joyce	Franz Kafka	Hermann Hesse	Fyodor Dostoyevsky	Albert Camus	Jorge Luis Borges	Charles Bukowski	Thomas Pynchon	Salman Rushdie	Jonathan Franzen	Siri Hustvedt	Raymond Carver	Thomas Mann	David Foster Wallace	Douglas Coupland	David Mitchell	Aldous Huxley																			
Don Delillo	Thomas Pynchon	David Foster Wallace	Philip Roth	Paul Auster	Cormac McCarthy	William Gaddis	James Joyce	Salman Rushdie	Martin Amis	Denis Johnson	Jonathan Franzen	Italo Calvino	Saul Bellow	Vladimir Nabokov	Jonathan Lethem	George Saunders	Haruki Murakami	Jorge Luis Borges	Zadie Smith	Jonathan Safran Foer	Raymond Carver	Roberto Bolano	Dave Eggers	William Faulkner	Donald Barthelme	John Updike	Gabriel Garcia Marquez	David Mitchell	Flannery O'Connor																			
	David Foster Wallace	Don Delillo	William Gaddis	James Joyce	Jorge Luis Borges	Cormac McCarthy	Salman Rushdie	Vladimir Nabokov	Haruki Murakami	Philip Kindred Dick	Italo Calvino	William Faulkner	Paul Auster	Kurt Vonnegut	Philip Roth	George Saunders	Samuel Beckett	John Barth	William S. Burroughs	Neal Stephenson	Roberto Bolano	Jonathan Franzen	Franz Kafka	William Gibson	Donald Barthelme	Umberto Eco	Michael Chabon	William H. Gass	Jonathan Lethem																			
	Barbara Trapido	Patrick Gale	William Trevor	H.E. Bates	Margaret Forster	Peter Carey	Susan Hill	Kate Atkinson	Sylvia Townsend Warner	Janette Turner Hospital	Elizabeth Taylor	Elinor Lipman	Sarah Dunant	Doris Lessing	Fowles	Barry Unsworth	Katherine Stockett	Beverley Nichols	Paul Campos	Sam J. Miller	Tiffany Murray	David greig	Sebastian Barry	Ruth Hamilton	John O'donohue	John Banville	Esther Freud	Sophie Mackintosh	Simon Mawer																			
	Ned Beauman	Derrick Brown	Sergio De La Pava	Nick Harkaway	Liz Gilbert	Keith Ridgway	Yiyun Li	Hilary Mantel	Miriam Toews	Ali Smith	Patrick deWitt	Anne Bronte	Samantha Hunt	Catherine O'flynn	Helen Oyeyemi	Mary Ruefle	EVIE WYLD	Andrea Levy	Monica Ali	Marlon James	Kelly Link	Jim Thompson	Billy Collins	David Mitchell	Steve Toltz	A.S. Byatt	Mark Z. Danielewski	Sarah Waters	George Saunders																	
	Milan Kundera	Gabriel Garcia Marquez	James Joyce	Vladimir Nabokov	Franz Kafka	Hermann Hesse	Paul Auster	Albert Camus	Fyodor Dostoyevsky	Italo Calvino	Aldous Huxley	Jorge Luis Borges	George Orwell	Charles Bukowski	Salman Rushdie	Jose Saramago	Haruki Murakami	Kurt Vonnegut	Thomas Pynchon	Thomas Mann	Neal Stephenson	John Irving	Orhan Pamuk	Don Delillo	John Fowles	Douglas Adams	Paulo Coelho	Max Frisch	J.R.R. Tolkien																			
Milan Kundera	Gabriel Garcia Marquez	Umberto Eco	Vladimir Nabokov	Hermann Hesse	Franz Kafka	Albert Camus	James Joyce	Aldous Huxley	Fyodor Dostoyevsky	George Orwell	Paul Auster	Charles Bukowski	Haruki Murakami	Kurt Vonnegut	Italo Calvino	Salman Rushdie	Oscar Wilde	Jose Saramago	Henry Miller	Tom Robbins	Jack Kerouac	Jorge Luis Borges	Ernest Hemingway	Jean-Paul Sartre	Orhan Pamuk	Don Delillo	Michel Houellebecq	John Irving	Jonathan Safran Foer																			
John Irving	T. Coraghessan Boyle	Tom Robbins	Nick Hornby	Haruki Murakami	Margaret Atwood	Paul Auster	John Steinbeck	Kurt Vonnegut	Pat Conroy	Barbara Kingsolver	Wally Lamb	Anne Tyler	Richard Russo	Jeffrey Eugenides	Douglas Coupland	Jonathan Franzen	Ian Mcewan	Michael Chabon	Matt Ruff	David Sedaris	Joyce Carol Oates	Christopher Moore	John Updike	Isabel Allende	Jonathan Safran Foer	Charles Dickens	Donna Tartt	Irvine Welsh	Ann Patchett																			
Jose Saramago	Nazým Hikmet	Italo Calvino	Oguz Atay	Orhan Pamuk	Fernando Pessoa	Ahmet Hamdi Tanpinar	İhsan Oktay Anar	Mario Vargas Llosa	Gabriel Garcia Marquez	Jorge Luis Borges	Hasan Ali Toptas	Paul Auster	Julio Cortazar	Roberto Bolano	Ursula K. LeGuin	Haruki Murakami	Javier Marias	Umberto Eco	Jorge Amado	Milan Kundera	Álvaro de Campos	Ihsan Oktay Anar	Bilge Karasu	Fyodor Dostoyevsky	Umut Sarýkaya	Pessoa	Eça de Queiroz	David Mitchell	Isabel Allende																			
Albert Camus	Franz Kafka	Hermann Hesse	Aldous Huxley	George Orwell	Milan Kundera	Fyodor Dostoyevsky	Gabriel Garcia Marquez	Charles Bukowski	Vladimir Nabokov	Kurt Vonnegut	James Joyce	Jean-Paul Sartre	Jack Kerouac	Oscar Wilde	Umberto Eco	Friedrich Nietzsche	Henry Miller	Ernest Hemingway	Paul Auster	Haruki Murakami	Tom Robbins	Jerome David Salinger	Chuck Palahniuk	Italo Calvino	Samuel Beckett	William Faulkner	Stefan Zweig	Jorge Luis Borges	John Steinbeck																			
